"Source Name"	"Characteristics[organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[developmental stage]"	"Characteristics[strain]"	"Term Source REF"	"Term Accession Number"	"Characteristics[genetic alteration]"	"Characteristics[phenotype]"	"Characteristics[sex]"	"Term Source REF"	"Term Accession Number"	"Characteristics[dob]"	"Characteristics[age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Characteristics[weight]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Characteristics[model description]"	"Protocol REF"	"Parameter Value[housing]"	"Parameter Value[cage number]"	"Parameter Value[light cycle]"	"Parameter Value[feed type]"	"Parameter Value[feed manufacturer]"	"Parameter Value[diet availability]"	"Parameter Value[water supply type]"	"Parameter Value[water type]"	"Protocol REF"	"Parameter Value[compound]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[route]"	"Parameter Value[dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[dose volume]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[duration of dosing]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[vehicle]"	"Protocol REF"	"Performer"	"Date"	"Parameter Value[collection time]"	"Parameter Value[euthanasia]"	"Parameter Value[processing]"	"Parameter Value[quantity taken]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[storage temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Sample Name"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Characteristics[organism part]"	"Term Source REF"	"Term Accession Number"	"Comment[sample description]"
"D9-4-2-3"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"46"	"week"	"EFO"	"obo:UO_0000034"	"20.4"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"885504"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"12"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP01"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D9-2-2-4"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"69.75"	"week"	"EFO"	"obo:UO_0000034"	"24"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"858211"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"0"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP02"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D4-3-2-1"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"79.25"	"week"	"EFO"	"obo:UO_0000034"	"25.4"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"842601"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"12"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP03"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D9-4-2-2"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"46"	"week"	"EFO"	"obo:UO_0000034"	"20.2"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"885504"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"12"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP04"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D6-4-2-2"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"51.25"	"week"	"EFO"	"obo:UO_0000034"	"20.6"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"878254"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"12"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP05"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D5-2-2-4"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"80.75"	"week"	"EFO"	"obo:UO_0000034"	"23.1"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"867850"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"8"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP06"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D3-7-2-1"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"58.5"	"week"	"EFO"	"obo:UO_0000034"	"24.4"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"866522"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"0"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP07"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D3-6-2-1"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"73.75"	"week"	"EFO"	"obo:UO_0000034"	"26.7"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"854026"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"4"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP08"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D6-5-3-1"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"38"	"week"	"EFO"	"obo:UO_0000034"	"23.7"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"891813"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"16"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP09"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D6-3-2-4"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"58.5"	"week"	"EFO"	"obo:UO_0000034"	"23.3"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"866524"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"4"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP10"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
